TrainMAE,TestMAE,max_depth,min_samples_leaf,random_state,ccp_alpha
13.001835374133856,24.847557706547978,15,1,1,0.1
14.236913786851902,23.843991835755215,15,1,1,0.5
15.404909945165075,23.467528081794853,15,1,1,1
15.995327781797423,23.915046378643506,15,1,1,1.5
16.60373329628414,23.81086699150905,15,1,1,2
8.735386053367126,23.344954103436244,20,1,1,0.1
10.458381111888256,23.18152428706525,20,1,1,0.5
12.226197727035553,22.37332644047794,20,1,1,1
13.372403383356879,23.073775903382757,20,1,1,1.5
14.229364466588441,22.96982545397724,20,1,1,2
7.566140611591384,23.01730171283743,25,1,1,0.1
8.955563721240882,22.418639596055563,25,1,1,0.5
10.894695409911453,21.558665483406266,25,1,1,1
12.048704432395764,22.26761616731231,25,1,1,1.5
13.170634044318255,22.43206217558896,25,1,1,2
6.543282539815332,22.291666664598935,30,1,1,0.1
7.277916091799042,21.698133973744817,30,1,1,0.5
9.478894475721592,21.12156554793166,30,1,1,1
10.784609398534837,22.12107619151951,30,1,1,1.5
11.980145740215473,22.392665056939023,30,1,1,2
6.387360345914809,21.39193582694108,35,1,1,0.1
6.915128943714953,21.328661072594894,35,1,1,0.5
9.207972302185524,21.25198035306042,35,1,1,1
10.579976754427424,21.9242662318377,35,1,1,1.5
11.921610864645897,22.392665056939023,35,1,1,2
6.387360345914809,21.39193582694108,40,1,1,0.1
6.915128943714953,21.328661072594894,40,1,1,0.5
9.207972302185524,21.25198035306042,40,1,1,1
10.579976754427424,21.9242662318377,40,1,1,1.5
11.921610864645897,22.392665056939023,40,1,1,2
6.387360345914809,21.39193582694108,45,1,1,0.1
6.915128943714953,21.328661072594894,45,1,1,0.5
9.207972302185524,21.25198035306042,45,1,1,1
10.579976754427424,21.9242662318377,45,1,1,1.5
11.921610864645897,22.392665056939023,45,1,1,2
6.387360345914809,21.39193582694108,50,1,1,0.1
6.915128943714953,21.328661072594894,50,1,1,0.5
9.207972302185524,21.25198035306042,50,1,1,1
10.579976754427424,21.9242662318377,50,1,1,1.5
11.921610864645897,22.392665056939023,50,1,1,2
15.270944410908506,23.492895206349765,15,2,1,0.1
15.774943592074138,23.578822910764863,15,2,1,0.5
16.295147117736633,23.47724341606376,15,2,1,1
16.64889742748063,23.761736064618905,15,2,1,1.5
17.354441744102036,23.70343132632882,15,2,1,2
11.85548420469556,22.84518718090147,20,2,1,0.1
12.647457918630678,22.437337829039507,20,2,1,0.5
13.485788278708126,22.21271755236905,20,2,1,1
14.088021944874493,22.34836997038754,20,2,1,1.5
14.95805849349602,22.440151032183252,20,2,1,2
10.33992019805236,22.771028693528688,25,2,1,0.1
11.463776544753388,21.824143582809548,25,2,1,0.5
12.44138613243814,21.655800362416144,25,2,1,1
13.073851134040892,21.862137304244158,25,2,1,1.5
13.980120219841325,21.902387753794972,25,2,1,2
9.074891699683908,22.341764567816586,30,2,1,0.1
10.182033810743258,21.38807673600901,30,2,1,0.5
11.263612155518135,21.138343284084396,30,2,1,1
12.047783057449818,21.82274018559422,30,2,1,1.5
12.981391785731853,21.86299063514504,30,2,1,2
8.880289424716343,21.75048865926842,35,2,1,0.1
10.02822968804598,21.191563018532555,35,2,1,0.5
11.177726969824967,20.975321372421178,35,2,1,1
12.047783057449818,21.82274018559422,35,2,1,1.5
12.981391785731853,21.86299063514504,35,2,1,2
8.898373544588056,21.413542188988615,40,2,1,0.1
10.02822968804598,21.191563018532555,40,2,1,0.5
