TrainMAE,TestMAE,max_depth,min_samples_leaf,max_features,ccp_alpha_vals
30.303327244167313,31.402730997459837,15,1,1,0.1
30.41411959784856,31.543421391748105,15,1,1,0.5
30.469630352376488,31.53152329877256,15,1,1,1
30.37277555179192,31.577812479770294,15,1,1,1.5
30.6102805774389,31.599943755567818,15,1,1,2
30.403116496496217,31.517849552836545,20,1,1,0.1
30.29307824604606,31.433742485141394,20,1,1,0.5
30.346037938475227,31.495626232095187,20,1,1,1
30.451178236005426,31.496962605668234,20,1,1,1.5
30.53465481509538,31.53966346279581,20,1,1,2
30.366673987013865,31.5583621695874,25,1,1,0.1
30.26164625538963,31.506669012988247,25,1,1,0.5
30.4761033729071,31.664068991061868,25,1,1,1
30.486286929769822,31.64059534664559,25,1,1,1.5
30.49534472004599,31.516906333098593,25,1,1,2
30.24255546005134,31.478380879064545,30,1,1,0.1
30.269433486484637,31.50827648216876,30,1,1,0.5
30.34037489870006,31.672182172774992,30,1,1,1
30.339615787772384,31.47364553630448,30,1,1,1.5
30.60925493583759,31.595318638746114,30,1,1,2
30.171614718071428,31.394880969865497,35,1,1,0.1
30.45219074518769,31.653599781058336,35,1,1,0.5
30.428267924305523,31.564529069564678,35,1,1,1
30.43936622881493,31.58477828620392,35,1,1,1.5
30.570181693199256,31.688136160069256,35,1,1,2
30.392641098574927,31.669759463713262,40,1,1,0.1
30.30466750432726,31.52198580858974,40,1,1,0.5
30.257533377625748,31.42556148460428,40,1,1,1
30.589215252151362,31.70884257529201,40,1,1,1.5
30.556716426478584,31.62428776776214,40,1,1,2
30.276428461477686,31.57498015933588,45,1,1,0.1
30.358864729823374,31.619670771426236,45,1,1,0.5
30.49007940020747,31.640931149861704,45,1,1,1
30.423653794398433,31.627265405420335,45,1,1,1.5
30.521444705694623,31.688071878701336,45,1,1,2
30.274541274179906,31.490518017306954,50,1,1,0.1
30.334949418401887,31.429368427902823,50,1,1,0.5
30.400252501924502,31.57590125455734,50,1,1,1
30.329913171246407,31.563606331331112,50,1,1,1.5
30.54667370864924,31.682502822219092,50,1,1,2
31.219752305693532,31.68709142529097,15,2,1,0.1
31.11809782137064,31.765860727271395,15,2,1,0.5
31.217461873339598,31.7601788581898,15,2,1,1
31.298719735763832,31.742679994053105,15,2,1,1.5
31.306690295921996,31.76892361480694,15,2,1,2
31.219748879967636,31.79071758583596,20,2,1,0.1
31.215996986278327,31.83571713809916,20,2,1,0.5
31.23508440697402,31.76908874995643,20,2,1,1
31.1642178344907,31.71682132358596,20,2,1,1.5
31.138835952441454,31.70521064184939,20,2,1,2
30.931249607368603,31.523089063895593,25,2,1,0.1
31.05738461892523,31.728605013072496,25,2,1,0.5
30.976769418114383,31.55628402417025,25,2,1,1
31.1798743340414,31.783632275611087,25,2,1,1.5
31.29728852908291,31.79324310338615,25,2,1,2
31.047832643846846,31.662654429356735,30,2,1,0.1
31.14271928735315,31.692911660828127,30,2,1,0.5
31.00810064248718,31.726297462879913,30,2,1,1
31.141610334576804,31.73131908232922,30,2,1,1.5
31.19361033491124,31.701736923100405,30,2,1,2
31.20583840492423,31.752326843707312,35,2,1,0.1
31.267765830409036,31.80131364534695,35,2,1,0.5
31.169023187403493,31.672382369651867,35,2,1,1
31.156801055496956,31.599097610817267,35,2,1,1.5
31.3014324209483,31.758299407888995,35,2,1,2
31.028937018627797,31.702768450110188,40,2,1,0.1
31.070602720207138,31.8478753823159,40,2,1,0.5
31.05297670604531,31.594123720546296,40,2,1,1
31.220529175139564,31.760757125685682,40,2,1,1.5
31.292364737086043,31.876600709715596,40,2,1,2
31.13836668685265,31.579415306961312,45,2,1,0.1
31.117597475121013,31.67534601649383,45,2,1,0.5
31.029475237042845,31.597789419463453,45,2,1,1
31.11882710269876,31.684450568414498,45,2,1,1.5
31.23924968796543,31.844219310458758,45,2,1,2
30.941425441648708,31.52342070765916,50,2,1,0.1
31.23852982762346,31.851783311115437,50,2,1,0.5
30.992694219153016,31.504801239989394,50,2,1,1
31.21764788721665,31.851591719025585,50,2,1,1.5
31.14901808645286,31.669623164272927,50,2,1,2
35.417873020036666,34.55605377893121,15,4,1,0.1
35.17527884249616,34.25885512704196,15,4,1,0.5
35.054728466242715,34.25353730894291,15,4,1,1
35.059613231218876,34.325919501913944,15,4,1,1.5
35.30937443097448,34.47733824425704,15,4,1,2
35.23290143579529,34.36307279940424,20,4,1,0.1
35.107254637280505,34.2968613762111,20,4,1,0.5
35.40444716568674,34.43067960071063,20,4,1,1
35.2764207349665,34.38910090077623,20,4,1,1.5
35.268625187604464,34.434276527114044,20,4,1,2
35.21755864088458,34.31188106090093,25,4,1,0.1
35.33209577026927,34.42166496216218,25,4,1,0.5
35.126178878015295,34.276541156486466,25,4,1,1
35.28743663515894,34.41533108912401,25,4,1,1.5
35.107886651345545,34.39221736927006,25,4,1,2
35.12816939432268,34.28852455479327,30,4,1,0.1
35.125751914996634,34.33152237891922,30,4,1,0.5
35.29475659570866,34.39273178239233,30,4,1,1
35.22191835417757,34.36699980246633,30,4,1,1.5
35.24487025377371,34.451675176115074,30,4,1,2
35.14462497316037,34.33081021766409,35,4,1,0.1
35.21278729257361,34.40469636255356,35,4,1,0.5
35.237225218594276,34.37769451982189,35,4,1,1
35.2871843409444,34.46774143817193,35,4,1,1.5
35.28157262120564,34.43109463674394,35,4,1,2
35.30359674817926,34.3615891235858,40,4,1,0.1
34.91907727411325,34.18911954440151,40,4,1,0.5
35.248402161766826,34.382856442772734,40,4,1,1
35.214791212611644,34.38425610566053,40,4,1,1.5
35.240397139452305,34.48807547638333,40,4,1,2
35.217837071920314,34.35077353979273,45,4,1,0.1
35.15553092622531,34.38161320577134,45,4,1,0.5
35.235365269104,34.40010460490955,45,4,1,1
35.362454101272874,34.46200745515424,45,4,1,1.5
35.4579464139629,34.53636055232703,45,4,1,2
35.23951691253886,34.38299087463621,50,4,1,0.1
35.29539555685799,34.47151593429318,50,4,1,0.5
35.244487709504114,34.3600746378387,50,4,1,1
35.24910263565884,34.44122268165269,50,4,1,1.5
35.28532114788107,34.41543913321557,50,4,1,2
37.184012154008656,35.962872260065815,15,6,1,0.1
37.44153224199214,36.07783495743007,15,6,1,0.5
37.458967530446444,36.16675195661262,15,6,1,1
37.38500975247299,36.04806149961738,15,6,1,1.5
37.44362137568766,36.09866785677241,15,6,1,2
37.34832018377529,35.98046264431836,20,6,1,0.1
37.25691412700933,35.98024674540432,20,6,1,0.5
37.51757411519405,36.17304518748681,20,6,1,1
37.39220982284343,36.0799522283068,20,6,1,1.5
37.529975048051334,36.241236296226816,20,6,1,2
37.28027651435469,36.00658241319715,25,6,1,0.1
