TrainMAE,TestMAE,Gamma,LearningRate,MaxDepth,RegAlpha
5.700363486848544,15.993654770510537,4,0.001,12,0.1
5.908703597938224,15.968153937941505,4,0.001,12,0.5
5.8724754859471044,15.972234196606136,4,0.001,12,1
5.947130606126835,16.13730700385003,4,0.001,12,1.5
5.824534062456759,16.06857033996355,4,0.001,12,2
4.432248582849994,15.734934175298328,4,0.001,14,0.1
4.479096004890217,15.811931158815112,4,0.001,14,0.5
4.494135505017422,15.940465948411397,4,0.001,14,1
4.613887345878609,15.895601905527569,4,0.001,14,1.5
4.686132848450814,15.908175264086042,4,0.001,14,2
3.1365173404525133,15.728971330892472,4,0.001,16,0.1
3.095327765282271,15.847651518526531,4,0.001,16,0.5
3.0650146374817777,15.737233519554138,4,0.001,16,1
3.105084758827739,15.729329140413375,4,0.001,16,1.5
3.1207117708448857,15.81065809726715,4,0.001,16,2
2.365347376130482,15.74055035909017,4,0.001,18,0.1
2.432234935579992,15.712037195761999,4,0.001,18,0.5
2.496738983880333,15.710599422454834,4,0.001,18,1
2.5852497868733453,15.996274147714887,4,0.001,18,1.5
2.6326841634906804,15.713259132135482,4,0.001,18,2
2.2463018219804414,15.814327427319117,4,0.001,20,0.1
2.3165707235958046,16.179590296177636,4,0.001,20,0.5
2.330450509875605,16.208680019492196,4,0.001,20,1
2.440608338352007,16.532409037862504,4,0.001,20,1.5
2.496363645472361,16.280462120260513,4,0.001,20,2
2.4498043173745856,15.660876088731346,4,0.005,12,0.1
2.688318804862246,15.816972241515206,4,0.005,12,0.5
2.5479917150190574,15.587709209393887,4,0.005,12,1
2.599510991986994,15.6530319104592,4,0.005,12,1.5
2.7290612905434126,15.61359583870286,4,0.005,12,2
2.307924088118079,15.649055699507395,4,0.005,14,0.1
2.355447226518336,15.651850822426024,4,0.005,14,0.5
2.424696880560192,15.522293289502462,4,0.005,14,1
2.550778612604151,15.543402989705404,4,0.005,14,1.5
2.6487380026768186,15.6320154383069,4,0.005,14,2
2.299137326319762,15.503399274178914,4,0.005,16,0.1
2.333907064453911,15.54218580751192,4,0.005,16,0.5
2.4092715595046803,15.720762173334757,4,0.005,16,1
2.4297789084547827,15.574533561865488,4,0.005,16,1.5
2.520002105258617,15.693289186273303,4,0.005,16,2
2.1777153065277326,15.84605759382248,4,0.005,18,0.1
2.288154793838597,15.76897457951591,4,0.005,18,0.5
2.3733417864979005,15.920963880561647,4,0.005,18,1
2.3958092746173043,15.665736338921956,4,0.005,18,1.5
2.4705401259140514,15.886553392523812,4,0.005,18,2
2.169466462797171,16.27568282967522,4,0.005,20,0.1
2.2104839013828714,16.203740940207528,4,0.005,20,0.5
2.3188733860270583,16.215930405117216,4,0.005,20,1
2.347887486062717,16.01629325889406,4,0.005,20,1.5
2.4360274641797117,16.182256309759047,4,0.005,20,2
2.3742069113768487,15.645111028991995,4,0.01,12,0.1
2.431170509127287,15.665457750182776,4,0.01,12,0.5
2.552841955116244,15.646301913829078,4,0.01,12,1
2.5937995030050147,15.785925776475953,4,0.01,12,1.5
2.678671071582036,15.700486918290457,4,0.01,12,2
2.2897642964945732,15.62311329799039,4,0.01,14,0.1
2.4214465598077304,15.713839544426827,4,0.01,14,0.5
2.4815609833670216,15.547313504275822,4,0.01,14,1
2.5190448319749,15.39759860861869,4,0.01,14,1.5
2.614443981685097,15.498382632221494,4,0.01,14,2
2.2432634717658493,15.535701799960364,4,0.01,16,0.1
2.3231089583957485,15.423502533208756,4,0.01,16,0.5
2.3999211494854946,15.535327619030362,4,0.01,16,1
2.4818155320535573,15.684057170436496,4,0.01,16,1.5
2.543847006452823,15.620354768775758,4,0.01,16,2
2.232133569777576,15.663415673233214,4,0.01,18,0.1
2.2473043753647026,16.0313194280579,4,0.01,18,0.5
2.3238547831052987,15.519169733637856,4,0.01,18,1
2.3967297978456337,15.987746953964233,4,0.01,18,1.5
2.4321485678856307,15.700514926796867,4,0.01,18,2
2.1625768609352796,15.968461306322189,4,0.01,20,0.1
2.2170841458217327,16.290321367127554,4,0.01,20,0.5
2.269819402669632,16.154506862163544,4,0.01,20,1
2.342276570423419,16.0038977095059,4,0.01,20,1.5
2.413726882102236,16.34237956433069,4,0.01,20,2
2.352812473831618,15.535330800428277,4,0.05,12,0.1
2.450971412859254,15.26853536956367,4,0.05,12,0.5
2.5598910438400213,15.420948947469393,4,0.05,12,1
