TrainMAE,TestMAE,Gamma,LearningRate,MaxDepth,RegAlpha
74.11257722876677,84.33032226846332,0,1e-05,2,1e-05
74.11257718614725,84.33032223440352,0,1e-05,2,5e-05
74.11257720068802,84.33032225711005,0,1e-05,2,0.0001
74.1125775060443,84.33032260622296,0,1e-05,2,0.0005
74.11257743985871,84.33032251255852,0,1e-05,2,0.001
74.11257805708956,84.33032330161049,0,1e-05,2,0.005
74.1125792193488,84.33032471509208,0,1e-05,2,0.01
74.11258798593227,84.3303353701319,0,1e-05,2,0.05
74.11259893914753,84.33034478766578,0,1e-05,2,0.1
74.11267622738106,84.33044153168088,0,1e-05,2,0.5
74.15488339197498,84.4187835752964,0,1e-05,4,1e-05
74.15488340877208,84.41878359516461,0,1e-05,4,5e-05
74.15488342068048,84.41878360509872,0,1e-05,4,0.0001
74.15488375248593,84.4187839825948,0,1e-05,4,0.0005
74.15488397648909,84.41878423520497,0,1e-05,4,0.001
74.15488652501071,84.41878709197044,0,1e-05,4,0.005
74.15488954071743,84.4187904383455,0,1e-05,4,0.01
74.15491471481123,84.41881861147426,0,1e-05,4,0.05
74.15494549788386,84.41885308708463,0,1e-05,4,0.1
74.15518751969222,84.41912449257714,0,1e-05,4,0.5
74.17228469092763,84.38365825939746,0,1e-05,6,1e-05
74.17228472853309,84.38365828565189,0,1e-05,6,5e-05
74.17228478995533,84.38365831971169,0,1e-05,6,0.0001
74.17228524046867,84.38365871920472,0,1e-05,6,0.0005
74.17228582893135,84.3836591988802,0,1e-05,6,0.001
74.17229036747094,84.38366221672013,0,1e-05,6,0.005
74.1722954019011,84.38366490531536,0,1e-05,6,0.01
74.17234007329469,84.38369294717198,0,1e-05,6,0.05
74.17239423799715,84.38372549698467,0,1e-05,6,0.1
74.1728306588189,84.38399266983781,0,1e-05,6,0.5
74.18969398950051,84.30194210473981,0,1e-05,8,1e-05
74.18969318211141,84.30194653357778,0,1e-05,8,5e-05
74.18969326578355,84.30194656231573,0,1e-05,8,0.0001
74.18969349580358,84.30194669571661,0,1e-05,8,0.0005
74.18969337997878,84.30195210696687,0,1e-05,8,0.001
74.18969500133794,84.30198091374976,0,1e-05,8,0.005
74.18969756853693,84.30202188555684,0,1e-05,8,0.01
74.18971207709718,84.30233797927697,0,1e-05,8,0.05
74.18973070577367,84.30273484545094,0,1e-05,8,0.1
74.18987267319461,84.30590913160925,0,1e-05,8,0.5
74.21656518290848,84.28492578722182,0,1e-05,10,1e-05
74.21656410175167,84.28493033952657,0,1e-05,10,5e-05
74.21656403406185,84.28493033704304,0,1e-05,10,0.0001
74.21656438617426,84.28492978073302,0,1e-05,10,0.0005
74.21656498366225,84.28493466015372,0,1e-05,10,0.001
74.21656718445877,84.2849707046435,0,1e-05,10,0.005
74.21656971041712,84.28501238248178,0,1e-05,10,0.01
74.21658942407363,84.28537954851275,0,1e-05,10,0.05
74.21661391569111,84.28582830798058,0,1e-05,10,0.1
74.21691267504175,84.28942096765552,0,1e-05,10,0.5
74.24161046505225,84.26406991056034,0,1e-05,12,1e-05
74.241609870322,84.2640745842031,0,1e-05,12,5e-05
74.24161011519618,84.26407476975804,0,1e-05,12,0.0001
74.24161087752141,84.26407628009717,0,1e-05,12,0.0005
74.24161088435307,84.26408242150431,0,1e-05,12,0.001
74.24161737925373,84.26411314273165,0,1e-05,12,0.005
74.24162486599823,84.26414191332601,0,1e-05,12,0.01
74.24168728816898,84.26443867491824,0,1e-05,12,0.05
74.24176559544763,84.26481891352506,0,1e-05,12,0.1
74.2423441373086,84.26784353774218,0,1e-05,12,0.5
74.25745963843463,84.18792188877151,0,1e-05,14,1e-05
74.25745911966739,84.18792665394999,0,1e-05,14,5e-05
74.25745917563684,84.1879265961193,0,1e-05,14,0.0001
74.257460139778,84.1879275061545,0,1e-05,14,0.0005
74.25746162676035,84.18793424218893,0,1e-05,14,0.001
74.25746513553723,84.18798490755614,0,1e-05,14,0.005
74.25747143319728,84.18803881569987,0,1e-05,14,0.01
74.25752248987163,84.18850842721406,0,1e-05,14,0.05
74.25758243779153,84.18910185531492,0,1e-05,14,0.1
74.25800349553175,84.19387132248708,0,1e-05,14,0.5
74.26962259834873,84.17521945635478,0,1e-05,16,1e-05
74.26962208440753,84.17522420237462,0,1e-05,16,5e-05
74.26962231035363,84.17522436522302,0,1e-05,16,0.0001
74.26962360247703,84.17522571235895,0,1e-05,16,0.0005
74.26962312908704,84.17524097398633,0,1e-05,16,0.001
74.26962763490988,84.17525217327334,0,1e-05,16,0.005
74.26963070119594,84.17527793596189,0,1e-05,16,0.01
74.26966439461734,84.17550188196557,0,1e-05,16,0.05
74.26970400519426,84.17576592415571,0,1e-05,16,0.1
74.26996404596935,84.17798592824312,0,1e-05,16,0.5
74.28422667288254,84.15508779102848,0,1e-05,18,1e-05
74.28422611619646,84.1550924696383,0,1e-05,18,5e-05
74.28422637830649,84.15509269492966,0,1e-05,18,0.0001
74.28422743038173,84.15508700446004,0,1e-05,18,0.0005
74.28422878499286,84.1550939675598,0,1e-05,18,0.001
74.28422937834426,84.15509058215788,0,1e-05,18,0.005
74.28423329959031,84.15510763760123,0,1e-05,18,0.01
74.28425181068707,84.15517530164549,0,1e-05,18,0.05
74.28428001458963,84.15527177460137,0,1e-05,18,0.1
74.2845186781056,84.15675797526326,0,1e-05,18,0.5
74.29637895911524,84.14953325405007,0,1e-05,20,1e-05
74.29637880687584,84.14953847619749,0,1e-05,20,5e-05
74.29637842348822,84.14953835237594,0,1e-05,20,0.0001
74.29637960480089,84.1495301322568,0,1e-05,20,0.0005
74.29637989737132,84.1495328520735,0,1e-05,20,0.001
74.29638170237045,84.14952645379873,0,1e-05,20,0.005
74.296383599879,84.14951743575789,0,1e-05,20,0.01
74.29641022880246,84.14948013602267,0,1e-05,20,0.05
74.29643810961149,84.1494227630042,0,1e-05,20,0.1
74.29658164486649,84.14909412995691,0,1e-05,20,0.5
61.62451861208044,71.13213631084987,0,5e-05,2,1e-05
61.62451879358944,71.13213643573579,0,5e-05,2,5e-05
61.62451862311138,71.13213629949661,0,5e-05,2,0.0001
61.62451502502152,71.13213231450035,0,5e-05,2,0.0005
61.624519487535416,71.13213718505133,0,5e-05,2,0.001
61.62452345165168,71.13214221454803,0,5e-05,2,0.005
61.624524416356934,71.13214414460319,0,5e-05,2,0.01
61.624555480467656,71.13218535695758,0,5e-05,2,0.05
61.624595533786135,71.13223855836051,0,5e-05,2,0.1
61.62491626017477,71.13266508919853,0,5e-05,2,0.5
61.64099458239181,71.44842190401894,0,5e-05,4,1e-05
61.64099480200767,71.44842189266568,0,5e-05,4,5e-05
61.64099495242948,71.44842245465233,0,5e-05,4,0.0001
61.640996188896814,71.44842390219371,0,5e-05,4,0.0005
61.6409985976515,71.44842684836615,0,5e-05,4,0.001
61.64100774329794,71.4484384059906,0,5e-05,4,0.005
61.641014526319054,71.44849665959676,0,5e-05,4,0.01
61.641095834324915,71.44864516031174,0,5e-05,4,0.05
61.641197547551585,71.44881646406083,0,5e-05,4,0.1
61.641974944546895,71.45046094485691,0,5e-05,4,0.5
61.470686847980595,71.06191220453807,0,5e-05,6,1e-05
61.470684121585165,71.06190911928813,0,5e-05,6,5e-05
61.47068391011717,71.06190896885735,0,5e-05,6,0.0001
61.47068559421475,71.06191104082833,0,5e-05,6,0.0005
61.47068780002534,71.0619120952629,0,5e-05,6,0.001
61.47066931280804,71.06190126424744,0,5e-05,6,0.005
61.47068943185134,71.0619053272974,0,5e-05,6,0.01
61.47072548244528,71.0621030600298,0,5e-05,6,0.05
